run_id,dataset,retriever_type,gnn_num_layers,gnn_hidden_dim,subset,Hit,Hit_at_1,Macro_F1,Macro_Precision,Macro_Recall,Exact_Match,Totally_Wrong,Hal_Score,Micro_F1,Micro_Precision,Micro_Recall,num_samples,num_no_answer_samples,no_answer_ratio
l2-1,webqsp,gnn,,,False,86.79361179361179,81.57248157248158,70.77860174342199,78.12825973868728,72.10017281055946,49.44717444717445,13.513513513513514,81.91370570204771,0.4490745323171334,0.7729131175468483,0.3164760044642857,1628,39,0.0239557739557739
l2-2,webqsp,gnn,,,False,85.62653562653563,81.14250614250614,70.44367041778858,77.8669244809665,71.73704088211613,49.87714987714988,14.557739557739556,81.76674906065644,0.4495503508251803,0.7707556760420197,0.3173130580357143,1628,37,0.0227272727272727
l2-3,webqsp,gnn,,,False,85.25798525798525,80.8968058968059,69.39186448133677,76.80652314141616,70.98401079889754,48.21867321867322,15.11056511056511,81.26329216139527,0.4511977826173035,0.7767552828902522,0.3179408482142857,1628,40,0.0245700245700245
l2-4,webqsp,gnn,,,False,86.36363636363636,81.69533169533169,70.55638591608046,77.8285476662574,72.29507261567625,49.631449631449634,13.943488943488944,81.83231020247796,0.4515432553118406,0.7613767996028463,0.3209402901785714,1628,40,0.0245700245700245
l2-5,webqsp,gnn,,,False,85.995085995086,81.51105651105651,69.36951756581709,76.88449885778735,71.09654577286472,48.464373464373466,14.864864864864863,81.70170228033307,0.445997458703939,0.7448579823702253,0.3182896205357143,1628,45,0.0276412776412776
l2-6,webqsp,gnn,,,False,85.13513513513513,80.95823095823096,69.69175709173666,77.11806511940443,71.05826473265552,49.385749385749385,15.11056511056511,81.50326659183801,0.4460298069875397,0.7446565508239517,0.318359375,1628,44,0.027027027027027
l0-1,webqsp,mlp,,,False,86.54791154791155,82.24815724815724,70.67363487389527,78.16167744068501,72.25619232326292,50.67567567567568,13.75921375921376,82.33610523757216,0.4413382899628252,0.7624593252269224,0.310546875,1628,40,0.0245700245700245
l0-2,webqsp,mlp,,,False,85.25798525798525,80.34398034398035,70.17664035426498,77.11532162451995,71.42428038450947,50.7985257985258,15.17199017199017,80.99112745075885,0.4439974488544375,0.7483049446006285,0.3156389508928571,1628,39,0.0239557739557739
l0-3,webqsp,mlp,,,False,85.74938574938575,81.51105651105651,68.90931500478173,76.96236836509769,70.51773871110214,47.6044226044226,14.434889434889431,81.30208142426491,0.4333824251350024,0.7315213788531654,0.3078962053571428,1628,38,0.0233415233415233
l0-4,webqsp,mlp,,,False,85.31941031941032,81.81818181818181,69.6975800494938,77.27161907172949,71.48576858367518,49.2014742014742,14.742014742014742,81.17437961446795,0.434253167043111,0.7333333333333333,0.3084542410714285,1628,35,0.0214987714987715
l0-5,webqsp,mlp,,,False,84.58230958230958,80.77395577395578,69.31321087753551,76.44832973069293,70.61083457610812,48.464373464373466,15.663390663390665,80.99190259672204,0.4548916227299355,0.7578074170461939,0.3249860491071428,1628,36,0.0221130221130221
l1-1,webqsp,gnn,,,False,85.25798525798525,81.08108108108108,70.01909320104417,77.3383489704293,71.34944439570123,49.692874692874696,15.04914004914005,81.82390162956588,0.4570838658932258,0.7740592740592741,0.3242885044642857,1628,44,0.027027027027027
l1-2,webqsp,gnn,,,False,84.8894348894349,80.52825552825553,69.73259565065581,77.21511353619525,70.87956560180028,50.061425061425055,15.47911547911548,81.55607936294477,0.4415584415584415,0.7558748943364328,0.3118722098214285,1628,45,0.0276412776412776
l1-3,webqsp,gnn,,,False,85.1965601965602,80.58968058968058,69.34620856955675,76.9247024528846,70.8508516511746,49.26289926289926,15.11056511056511,81.36816374070946,0.4409333268111334,0.7380055673816931,0.3143833705357143,1628,45,0.0276412776412776
l1-4,webqsp,gnn,,,False,85.68796068796068,81.81818181818181,70.60120125726007,77.78551172192553,72.06296341911676,50.61425061425061,14.742014742014742,81.9325036404582,0.4495336686361639,0.7493081556242878,0.3210797991071428,1628,39,0.0239557739557739
l1-5,webqsp,gnn,,,False,85.1965601965602,80.83538083538083,70.21063656279185,77.85641525840215,71.30889659988742,50.18427518427519,15.04914004914005,81.97677839836791,0.44278116998227307,0.75284661754856,0.31361607142857145,1628,42,0.025798525798525797
