layers,K,ans_recall_mean,ans_recall_std,shortest_path_triple_recall_mean,shortest_path_triple_recall_std,gpt_triple_recall_mean,gpt_triple_recall_std
0,50,0.8964000000000001,0.011013627921806678,0.829,0.009721111047611836,0.8042,0.01177709641634981
0,100,0.9396000000000001,0.00730068489937757,0.8862,0.008786353054595537,0.8625999999999999,0.011458621208505038
0,200,0.9676,0.004505552130427536,0.9336,0.008173126696681025,0.9154,0.013126309458488337
0,400,0.986,0.002345207879911756,0.9673999999999999,0.006426507605223877,0.9593999999999999,0.009343446901438441
1,50,0.9162000000000001,0.002863564212655274,0.8343999999999999,0.002607680962081076,0.8088000000000001,0.004658325879540773
1,100,0.9523999999999999,0.0030495901363953876,0.8907999999999999,0.00408656334834055,0.8624,0.0008944271909999276
1,200,0.974,0.001581138830084191,0.9388,0.001643167672515455,0.9118,0.003271085446759237
1,400,0.9874,0.0008944271909999234,0.9704,0.0005477225575051776,0.9513999999999999,0.002408318915758442
2,50,0.906,0.007017834423809106,0.8243333333333333,0.004873397172404476,0.7983333333333333,0.008031189202104513
2,100,0.9463333333333332,0.005612486080160892,0.8843333333333333,0.002692582403567264,0.8567777777777779,0.004465920335658094
2,200,0.9713333333333333,0.002915475947422652,0.9333333333333333,0.0029580398915498097,0.9065555555555557,0.003908679799852873
2,400,0.9858888888888888,0.0011666666666666672,0.9682222222222223,0.0027284509239574833,0.9488888888888888,0.0025712081034236006
